OTU	Cervix	Ear	Anus	Vagina	Introitus	Stool
ASV_1	89030	1296	43	26684	23186	164
ASV_7	3	71635	2702	1264	62	1657
ASV_4	34	379	67913	46	52862	2
ASV_5	1609	1571	10310	63344	15431	8320
ASV_152	0	0	0	0	0	18457
ASV_79	0	78	0	0	0	9338
ASV_44	0	2167	412	20	2	2
ASV_99	0	0	0	0	2	1594
ASV_25	2	240	0	0	2	1411
ASV_585	597	0	0	11	65	0
ASV_220	0	203	0	0	0	0
ASV_1146	0	137	0	0	0	0
ASV_56	0	61	89	6	0	0
ASV_622	0	86	0	0	0	0
ASV_2632	0	0	22	69	0	0
ASV_415	0	0	0	0	0	65
ASV_378	0	64	0	0	0	0
ASV_134	0	63	0	0	0	0
ASV_146	7	63	0	0	0	0
ASV_976	0	60	0	0	0	0
ASV_348	0	59	0	0	0	0
ASV_1925	0	56	0	0	0	0
ASV_614	0	56	0	0	0	6
ASV_27	0	17	53	0	0	0
ASV_1264	0	49	0	0	0	0
ASV_136	0	24	0	0	0	47
ASV_55	2	42	0	0	0	0
ASV_21	3	38	0	0	0	0
ASV_534	0	37	0	0	0	0
ASV_1694	0	34	0	0	0	0
ASV_1419	0	32	0	0	0	0
ASV_969	0	32	0	0	0	0
ASV_153	0	28	2	0	0	0
ASV_338	0	28	0	0	0	0
ASV_53	0	25	0	0	0	0
ASV_128	0	22	0	0	0	0
ASV_284	0	18	0	0	0	0
ASV_567	0	18	2	0	0	0
ASV_984	0	18	0	0	0	0
ASV_57	0	0	0	0	0	17
ASV_773	0	17	0	0	0	0
ASV_2458	0	16	0	0	0	0
ASV_1169	0	15	0	0	0	0
ASV_1684	0	14	0	0	0	0
ASV_2223	0	14	0	0	0	0
ASV_1361	0	13	0	0	0	0
ASV_1013	3	12	0	0	0	0
ASV_2498	10	0	0	10	12	0
ASV_69	0	4	12	0	0	0
ASV_19	0	11	0	4	2	0
ASV_1475	0	10	0	0	0	0
ASV_438	0	0	0	0	0	10
ASV_1450	0	9	0	0	0	0
ASV_207	0	9	0	0	0	0
ASV_1069	0	8	0	0	0	0
ASV_2175	0	8	0	0	0	0
ASV_1068	0	7	0	0	0	0
ASV_1661	0	7	0	0	0	0
ASV_181	0	7	0	0	0	0
ASV_2070	0	7	0	0	0	0
ASV_774	0	7	0	0	0	0
ASV_1138	0	5	3	0	0	0
ASV_1576	5	0	0	0	0	0
ASV_3191	0	5	0	0	0	0
ASV_1289	0	4	0	0	0	0
ASV_2090	0	4	0	0	0	0
ASV_219	0	0	4	0	0	0
ASV_2769	0	4	0	0	0	0
ASV_71	0	4	0	0	0	0
ASV_120	0	0	3	0	0	0
ASV_1391	0	2	0	0	0	0
ASV_161	0	2	0	0	0	0
ASV_1702	0	0	2	0	0	0
ASV_2254	0	2	0	0	0	0
ASV_364	0	2	0	0	0	0
ASV_477	0	2	0	0	0	0
