"","measure","from","to","y","p"
"1","Richness","01","12","43.2978492973276","0.0055"
"2","Richness","02","12","47.2340174152665","0.0013"
"3","Richness","03","12","51.1701855332054","0.027"
"4","Richness","06","09","55.1063536511443","0.0088"
"5","Richness","06","12","59.0425217690831","0.0042"
"6","Richness","06","08","62.978689887022","0.017"
"7","Richness","12","05","66.9148580049609","0.026"
"8","Richness","12","04","70.8510261228998","0.0078"
"9","Simpson","01","12","1.09345311059603","1.9e-05"
"10","Simpson","02","12","1.19285793883203","4.1e-05"
"11","Simpson","03","12","1.29226276706804","0.0076"
"12","Simpson","07","12","1.39166759530404","0.0085"
"13","Simpson","12","05","1.49107242354004","0.00081"
"14","Simpson","12","04","1.59047725177604","7.6e-06"
"15","Simpson","05","08","1.68988208001205","0.032"
"16","Simpson","04","08","1.78928690824805","0.0022"
"17","Shannon","01","12","6.61856698090092","0.0023"
"18","Shannon","02","12","7.22025488825555","0.0012"
"19","Shannon","03","12","7.82194279561018","0.023"
"20","Shannon","06","12","8.42363070296481","0.046"
"21","Shannon","12","05","9.02531861031944","0.012"
"22","Shannon","12","04","9.62700651767407","0.0013"
