OTU	Stool	Ear	Cervix	Anus	Introitus	Vagina
ASV_7	77818	76515	1855	14	4868	1325
ASV_1	31	369	59199	8	42236	25231
ASV_4	7	9058	15	46110	6013	30601
ASV_79	0	3284	0	10289	0	0
ASV_5	28	250	187	710	3872	3521
ASV_71	0	155	89	282	1500	315
ASV_250	0	344	6	903	128	6
ASV_19	0	5	188	0	692	98
ASV_153	0	117	0	584	0	0
ASV_27	0	176	19	313	532	17
ASV_112	0	28	0	6	505	19
ASV_218	0	8	159	0	460	21
ASV_1184	0	73	0	342	0	0
ASV_152	0	140	0	333	0	0
ASV_69	0	287	6	277	324	9
ASV_56	0	204	13	254	260	9
ASV_364	0	33	0	54	215	17
ASV_25	174	158	0	20	6	0
ASV_21	0	13	33	7	167	15
ASV_181	0	88	0	125	0	0
ASV_348	0	39	0	121	0	0
ASV_567	0	26	0	118	0	0
ASV_97	0	50	0	111	100	2
ASV_307	0	0	0	15	108	8
ASV_55	0	95	0	0	0	0
ASV_488	0	16	0	89	0	0
ASV_215	0	6	17	0	84	20
ASV_44	5	73	19	33	55	25
ASV_806	0	0	4	0	73	2
ASV_2268	0	25	0	66	0	0
ASV_522	0	36	0	64	0	0
ASV_90	0	23	0	64	0	0
ASV_134	0	62	0	0	0	0
ASV_54	0	62	0	0	4	0
ASV_445	0	18	0	61	0	0
ASV_1004	59	0	0	0	0	0
ASV_128	0	37	10	0	12	59
ASV_53	0	32	0	59	0	0
ASV_1509	0	5	0	56	0	0
ASV_2275	0	8	0	54	0	0
ASV_403	0	9	0	54	0	0
ASV_738	0	3	0	2	51	4
ASV_1998	0	19	0	50	0	0
ASV_1169	0	2	0	44	0	0
ASV_610	0	6	0	10	44	2
ASV_219	0	24	5	9	43	0
ASV_1068	0	15	0	40	0	0
ASV_2425	0	8	0	39	0	0
ASV_614	10	39	0	0	0	0
ASV_650	0	0	0	3	38	0
ASV_261	0	4	0	35	2	0
ASV_52	0	33	0	0	0	0
ASV_146	0	31	0	0	0	0
ASV_298	0	4	0	30	0	0
ASV_306	0	30	0	9	3	0
ASV_220	0	28	0	0	0	0
ASV_438	0	26	0	0	0	0
ASV_562	0	14	0	26	0	0
ASV_1022	0	18	0	25	0	0
ASV_301	0	10	0	24	3	0
ASV_897	0	24	0	23	2	2
ASV_338	0	23	0	0	0	9
ASV_1013	0	21	0	0	0	0
ASV_136	0	20	0	0	0	0
ASV_207	0	19	0	0	0	0
ASV_477	0	19	0	0	0	0
ASV_139	0	18	0	0	0	0
ASV_57	0	18	0	0	0	0
ASV_813	0	11	0	16	0	0
ASV_622	0	15	0	0	0	0
ASV_1047	0	0	0	14	0	0
ASV_984	0	14	0	0	0	0
ASV_1264	0	13	0	0	0	0
ASV_1379	0	10	0	12	0	0
ASV_1862	0	0	0	3	12	0
ASV_519	0	12	0	11	0	0
ASV_928	0	12	0	0	0	0
ASV_534	0	5	0	11	0	0
ASV_585	0	0	4	0	11	3
ASV_161	0	9	0	10	0	0
ASV_387	0	0	0	2	10	0
ASV_3507	0	9	0	0	0	0
ASV_598	0	0	0	9	0	0
ASV_1314	0	2	0	8	0	0
ASV_1475	0	0	0	8	0	0
ASV_1820	0	0	0	8	0	0
ASV_1011	0	5	0	7	3	0
ASV_1318	0	0	0	7	0	0
ASV_1322	0	0	0	0	7	0
ASV_1918	0	7	0	2	0	0
ASV_2607	0	7	0	0	0	0
ASV_415	0	7	0	0	0	0
ASV_511	0	6	0	7	4	0
ASV_2376	0	6	3	0	3	0
ASV_826	0	6	0	0	0	0
ASV_284	0	5	0	0	0	0
ASV_651	0	0	0	5	0	0
ASV_659	0	5	0	0	0	0
ASV_1300	0	4	0	2	0	0
ASV_1381	0	4	0	0	0	0
ASV_1602	0	0	0	4	0	0
ASV_2171	0	0	0	4	0	0
ASV_2175	0	4	0	0	0	0
ASV_845	0	4	0	0	0	0
ASV_1450	0	3	0	0	0	0
ASV_1610	0	0	0	3	0	0
ASV_1661	0	3	0	0	0	0
ASV_1684	0	3	0	0	0	0
ASV_1702	0	3	0	2	0	0
ASV_1832	0	3	0	0	0	0
ASV_1968	0	0	0	3	0	0
ASV_2204	0	3	0	0	0	0
ASV_3085	0	3	0	0	0	0
ASV_773	0	0	0	3	0	0
ASV_774	0	3	0	3	2	0
ASV_866	0	0	0	3	0	0
ASV_901	0	0	0	0	3	0
ASV_1069	0	0	0	2	0	0
ASV_1098	0	0	0	2	0	0
ASV_1327	0	0	0	2	0	0
ASV_2022	0	0	0	2	2	0
ASV_2458	0	2	0	0	0	0
ASV_2520	0	2	0	0	0	0
ASV_2551	0	2	0	0	0	0
ASV_2632	0	0	0	2	0	0
ASV_2801	0	2	0	0	0	0
ASV_3032	0	2	0	0	0	0
ASV_3900	0	0	0	2	0	0
ASV_47	0	0	0	0	0	2
ASV_674	0	2	0	0	0	0
ASV_694	0	0	0	2	0	0
ASV_821	0	2	0	2	0	0
